観測日時,宮津,宮津 (2),舞鶴,舞鶴 (2),園部,園部 (2),京都,京都 (2),京田辺,京田辺 (2),間人,間人 (2),美山,美山 (2),福知山,福知山 (2),香住,香住.1,豊岡,豊岡.1,和田山,和田山.1,生野,生野.1,一宮,一宮.1,柏原,柏原.1,西脇,西脇.1,福崎,福崎.1,家島,家島.1,三田,三田.1,洲本,洲本.1,兎和野高原,兎和野高原.1,南淡,南淡.1,郡家,郡家.1
2020年3月29日14時,3.3,16,5.9,1,1.9,3,5,16,4.7,15,6.8,1,3.2,3,3.5,1,4.2,1,2.4,16,4.5,15,2.5,2,2.7,14,4.4,1,2.1,15,1.6,16,2.9,1,7.4,16,5.5,16,3.6,15,3.1,16,4.3,16
2020年3月29日15時,1.2,15,4.2,2,3.2,13,4.8,1,5.5,15,6.8,1,2.4,2,2.5,16,5.2,1,3.7,16,3.3,15,2.1,3,2.8,15,4.3,1,2.4,16,2.4,1,2,1,7.3,15,6.5,16,3.1,15,2.5,16,3.7,16
2020年3月29日16時,1,15,4.5,1,1.7,15,5.5,14,4.7,15,6.5,1,1.9,11,1.9,15,3.7,1,3.5,16,1.8,15,3.5,3,0.8,6,2.8,15,3,16,2.3,16,2.2,16,6.2,14,5.4,1,2.5,15,3.3,15,4.2,1
2020年3月29日17時,1.6,15,2.3,3,2.9,13,5,15,3.5,16,5.7,1,1.4,3,2.5,16,2,2,3,16,3.1,1,2.8,3,0.5,1,2.4,1,1,16,1.3,16,2.8,1,5.8,15,5.7,2,2.4,15,2.3,1,3.5,1
2020年3月29日18時,2,13,3.2,2,2.1,13,4,16,3.9,14,5.3,1,1.2,3,1.8,14,0.5,4,1.6,16,2,15,1.7,3,1.3,1,1.8,16,1,1,1.2,16,3.3,1,3.3,14,3.9,1,2.3,14,2.1,1,2.9,16
2020年3月29日19時,1.4,14,1.7,4,2.3,13,2.2,16,2.8,16,5.3,1,1.1,3,0.6,14,0.5,7,1.2,13,2,15,2.2,3,1,1,2,15,0.9,1,1.1,15,3.5,1,3.4,15,3.6,1,1.9,14,1.8,1,2.8,1
2020年3月29日20時,1,13,0.5,10,1.1,12,2,15,2.6,15,4.5,2,0.4,3,0.6,14,2.2,7,0.8,15,0.2,0,1.8,2,1.2,2,1.6,15,0.1,0,1.7,15,3.4,1,1.8,15,5.3,1,0.6,12,2.5,2,2.6,1
2020年3月29日21時,2.2,13,1,5,1,13,1.5,13,1.1,11,3.9,1,0.8,4,0.9,16,1.8,7,0.9,5,0.2,0,1.2,16,1.1,1,1.1,13,0.3,6,0.6,14,2.9,2,0.2,0,3.3,3,0.5,12,2.5,2,2.2,1
2020年3月29日22時,1.9,14,1.1,9,1,13,1.6,16,1.5,13,3.9,1,0.3,1,1.1,14,2,6,0.6,6,0.6,1,1.6,2,0.4,2,0.4,16,0.2,0,0.2,0,2.9,1,1.5,16,3.1,2,0.6,14,1.9,1,2.5,1
2020年3月29日23時,2.3,13,0.6,7,0.1,0,2.4,16,0,0,3.7,1,0.9,1,0.8,12,1.9,6,0.7,11,0,0,1.4,1,0.5,16,1.1,13,0.3,16,0.5,15,3.2,1,1.1,12,3.7,2,0.7,13,1.9,1,1.4,1
2020年3月29日24時,1.5,14,0.5,6,0.2,0,0.9,1,0.4,5,3.3,1,0.9,3,1,15,1.6,7,0.8,5,0.4,16,1.1,1,1.1,1,1.3,13,0.6,15,1.4,15,2.6,1,0.7,9,1.1,3,0.3,6,1.4,1,1.7,16
2020年3月30日1時,2.5,14,0.4,11,0.6,14,1.4,16,0,0,4,2,0.1,0,0.1,0,1.8,7,0.2,0,0.4,8,1.3,1,0.8,2,0.9,14,0.2,0,0.1,0,1.9,2,1.2,6,1.2,7,0.7,12,1.1,15,0.7,13
2020年3月30日2時,2.1,13,0.4,14,0.8,13,1.4,14,0.4,5,3.9,2,0.1,0,0.6,13,2.3,6,0.9,6,0,0,0.1,0,0.7,1,1.5,6,0.7,5,0.2,0,1.6,1,0.9,14,1.8,5,0.6,15,1.1,1,1.6,16
2020年3月30日3時,1.3,12,0.1,0,0.9,11,1.4,16,0.9,4,3.9,2,0,0,1,1,1.5,6,0.3,9,0.1,0,1.2,16,1.8,16,1,6,0,0,0.4,2,2.4,1,0.7,15,1.5,3,0.3,11,1.2,1,1.4,1
2020年3月30日4時,2,13,0.9,4,1.2,12,1.6,1,0,0,2.6,3,0.4,4,0.6,16,1.3,6,0.8,4,0.7,16,1.3,1,2.7,16,0.3,10,0.3,15,1.1,2,1.1,16,0.3,5,0.4,14,0.7,12,0.2,0,0.7,1
2020年3月30日5時,2.1,13,0.6,12,1,13,0.8,3,0.3,13,3.2,2,0.7,3,0.2,0,2.4,7,0.5,11,0.3,4,1.9,16,2.1,15,0.4,13,0.5,16,0.8,1,0.7,1,0.7,7,1.2,8,0.9,11,0.2,0,0.3,3
2020年3月30日6時,2.7,13,1.3,12,0.2,0,0.2,0,0,0,1.5,4,0.2,0,0.1,0,2.5,6,0.8,6,0,0,0.4,16,0.6,3,1,5,0.5,6,0.2,0,0.3,1,0.4,4,0.6,9,0.2,0,0.9,16,1.1,1
2020年3月30日7時,1.4,13,0.8,5,0.4,8,0.9,13,1.3,6,1.9,6,0.2,0,0.2,0,1.7,5,0.6,7,0,0,0.2,0,0.9,16,0.5,6,0.4,4,0.7,16,0.9,1,0.5,15,1.2,5,1.7,8,0.6,2,0.5,10
2020年3月30日8時,1.9,14,0.6,13,0.3,9,0.4,3,0.8,14,1.1,7,0,0,1.1,2,2.3,6,0.3,16,0.4,15,0.2,0,0.7,15,0.4,4,0.3,1,0.3,16,0.8,2,0.5,15,1.3,1,1.6,8,0.5,16,0.6,12
2020年3月30日9時,0,0,0.5,13,0,0,0.5,14,0.2,0,0.9,4,0,0,0.8,15,1.4,8,1.1,7,0.3,16,0.7,1,1,14,0.4,10,0.3,15,0.2,0,1.5,2,0.9,4,3,3,1.5,6,1.1,1,1.2,15
2020年3月30日10時,2,5,1.4,16,1.3,6,0.8,16,0.3,5,2.8,2,0.4,4,0.9,5,1.4,3,1,7,0.2,0,2.1,16,1,14,0.9,12,0.5,13,0.7,7,2.2,2,0.7,5,4.2,2,2.2,8,1.6,1,0.6,12
2020年3月30日11時,2.2,6,1.5,16,1.2,10,1.4,15,0.9,4,1.8,16,1.3,9,1.5,7,2.7,1,1.4,6,0.7,12,1.4,1,0.9,13,1.1,16,1.2,1,0.5,8,2.6,2,0.9,5,5.3,3,2.1,6,1.6,2,2.7,6
2020年3月30日12時,2.2,4,3,16,1.6,5,0.5,3,0.5,2,4.1,3,0.5,14,1.8,7,2.6,1,0.8,9,1.2,13,2.1,15,1.2,14,0.6,2,1,15,0.8,1,2.5,5,1.6,2,4.9,3,2.2,7,2.3,9,3.5,6
2020年3月30日13時,2.6,2,2.6,1,0.7,8,1.2,8,2,7,5.3,2,0.8,15,1.3,7,5.4,1,1.4,7,0.7,14,1.2,15,0.9,12,1.2,16,0.7,13,0.9,6,2.2,4,1.6,6,3.8,3,2.5,7,0.6,7,3,6
2020年3月30日14時,3,2,3.6,1,1.9,5,2.3,7,0.9,6,5.9,3,1,4,1.4,4,4.2,1,1.4,4,0.3,12,0.9,12,1.5,10,0.3,6,1.1,15,1.1,9,2.5,8,1.3,12,4.2,1,2.6,4,1.9,15,2.9,6
2020年3月30日15時,2,3,4.3,1,1.4,9,1.8,7,0.5,6,6.2,3,1.4,12,0.9,15,4.6,16,3.4,3,1.1,3,2.1,8,2.3,8,0.7,14,0.5,13,0.8,11,2.4,8,0.9,3,2,4,1.7,5,3.6,13,1.5,14
2020年3月30日16時,2.4,2,3.8,1,1.8,5,1.1,5,1.3,7,5.9,3,1.6,11,1.1,5,4.1,1,2.2,1,2,6,1.6,8,2.2,8,0.8,10,0.3,14,2,9,1.8,8,3.1,5,1.7,4,1.8,7,1.7,1,0.8,10
2020年3月30日17時,1.9,3,3.7,1,1,6,1.4,6,0.7,7,6.3,3,0.7,15,0.7,3,3.5,2,2.7,16,0.6,11,1.2,9,1.7,8,0.7,16,0.3,15,1.6,8,0.3,8,1.9,5,0.8,3,2.6,15,0.8,16,0.5,7
2020年3月30日18時,2.1,3,3.5,1,0.6,8,2.2,5,1,5,5.6,3,3.8,1,2.8,15,2.3,2,2.1,1,2.6,14,0.3,10,0.5,2,0.7,9,0.6,7,0.7,7,0,0,0.9,4,1.7,5,0.4,13,1.3,16,1.4,6
2020年3月30日19時,0.9,12,2.2,2,1.4,12,2.1,3,1.9,5,4.1,4,3.7,2,2.3,15,0.5,10,1.6,15,3.9,15,0.4,15,0.9,1,0.8,9,0.3,4,0,0,0.9,16,0.1,0,1.5,4,0.5,10,0.9,1,1.2,6
2020年3月30日20時,1.9,12,1.1,16,1.3,12,2.1,1,1.8,4,3.3,4,3.3,2,1.1,2,0.1,0,0.8,6,2.3,15,1,16,0.9,1,0.7,5,0.3,2,0.3,15,0.9,8,1.4,4,0,0,0.3,7,0.4,2,1.3,6
2020年3月30日21時,1.4,12,0.4,4,0.6,12,1.8,16,2.2,4,2,6,2.9,2,0.5,16,0.3,14,0.9,3,1.7,1,0.8,16,1.4,16,0.2,0,0.1,0,0.5,1,1.1,4,1.3,3,1.9,3,1.5,9,0.5,2,2.1,6
2020年3月30日22時,0.8,12,0.2,0,0,0,1.3,1,1.5,4,0.6,6,2.6,3,0.8,12,1.4,8,0.8,3,0,0,0.2,0,1.4,1,0.7,5,1,1,0.4,1,0.2,0,0.4,16,1.4,2,2.6,9,0.3,13,1.3,5
2020年3月30日23時,0.8,12,0.4,12,0,0,1.5,1,1.8,4,1,7,2.6,3,0.7,12,2.1,7,1.2,2,0,0,0.6,1,1.5,16,0.3,9,1.1,16,0.5,1,1,2,0.6,14,2.5,2,2.6,9,0.1,0,1,3
2020年3月30日24時,1,12,0.4,10,0.5,12,1,1,1.5,4,0.6,6,2.6,2,0.7,16,3.1,7,0.5,8,0,0,0.2,0,1.5,16,0.3,16,1.2,16,0.5,16,1.5,1,1.2,15,2,2,1.6,9,0.2,0,0.3,5
2020年4月1日1時,1.6,7,4.2,11,1.3,7,2.1,3,0.3,4,1.4,1,1.5,10,0.6,15,0.7,8,0.9,2,2.5,9,0.1,0,0.1,0,0,0,1,1,0.6,15,1.9,3,1.2,5,0.9,6,2.6,8,0.5,2,0.6,6
2020年4月1日2時,1,12,2.3,11,1.3,8,2.3,3,3.5,5,0.6,16,0.2,0,0.5,15,0.8,8,0.9,2,0.7,7,1,7,0.3,15,0,0,1.3,16,0.3,16,1.7,2,3,5,2.1,4,2.8,9,0.8,4,1.7,5
2020年4月1日3時,0.7,14,3.9,11,2,8,2.6,4,1.5,6,0.6,5,0.7,10,0.4,16,0.8,9,0.9,1,2.3,9,1.3,6,0.8,15,0,0,1.4,16,0.7,16,1.6,2,2.2,5,1.4,4,2.4,8,0.4,2,1.7,6
2020年4月1日4時,0.7,12,3.3,10,1.1,5,1.9,3,0.7,3,1.6,7,0.9,11,0.6,11,0.7,8,0.8,8,2.3,9,0.6,6,0.6,1,0,0,0.7,16,0.4,16,2.6,2,0.5,2,2.6,4,2.9,8,1.2,2,1.2,6
2020年4月1日5時,1.1,1,1.7,9,0.1,0,2.5,2,1.4,3,2.1,4,0.5,4,1.2,16,1,2,0.9,3,2.5,9,1.2,7,0.6,1,0.3,11,1.1,15,0.5,16,2.1,2,2.4,5,2.6,4,3.7,8,0.1,0,1.1,6
2020年4月1日6時,1.5,2,0.2,0,0.2,0,2.1,3,0.3,3,1,4,0,0,0.7,16,0.8,7,0.2,0,2.2,9,0.3,7,0.2,0,0.1,0,1.2,16,0.3,16,2.7,2,2,4,2.7,4,2.9,8,1.3,4,0.8,6
2020年4月1日7時,1,4,1.2,8,0.5,14,1.9,3,1.9,6,0.4,9,0.7,2,1.1,16,0.8,6,0.5,15,2.1,9,0.8,8,0.4,16,0.6,11,1.2,1,0.1,0,3.5,3,2.4,5,2.5,4,3.5,8,0.2,0,1.8,7
2020年4月1日8時,0.8,3,1.9,11,2,7,3.5,4,2.2,5,1.1,9,1.3,16,1.5,16,0.4,7,1.5,9,2.6,9,0.4,9,0.2,0,0.6,2,0.9,1,0.5,15,3.3,3,3.7,5,2.8,4,2.6,8,0.7,1,1,6
2020年4月1日9時,1.2,7,2.3,10,2.3,7,3.6,3,3.1,5,0.5,12,1.6,11,1.6,6,0.7,7,0.8,16,1.6,9,0.3,8,0.9,16,1,11,1.2,16,0.5,16,2.2,2,5.2,5,3.4,3,1.9,9,0.8,1,1.6,10
2020年4月1日10時,1.2,6,0.7,1,2.4,7,3.3,3,7.5,6,3.1,3,0.9,7,0.9,16,0.1,0,1.1,15,0.8,8,0.2,0,0.9,16,1.1,13,0.3,15,0.2,0,2.9,3,2.4,5,2.6,3,1.4,9,1.6,1,0.5,1
2020年4月1日11時,1.2,6,1.4,16,0.1,0,2.6,3,5.1,5,4.5,3,1.5,15,1.9,16,0.8,1,1.1,16,0.8,16,1.5,16,0.5,16,2.1,12,0.6,15,0.5,16,2.7,2,2.9,5,3.5,3,0.7,2,1.2,3,0.9,14
2020年4月1日12時,1.7,6,2.3,2,0.5,2,2.8,2,2.5,5,5.6,3,0.7,15,1.4,16,1.5,15,1.7,16,1.7,15,0.9,2,1.9,16,1.5,15,0.7,15,0.4,1,1.7,2,1.6,2,2.5,2,1.6,15,0.9,14,1.7,12
2020年4月1日13時,2.6,2,3.2,2,0.1,0,2.9,3,0.7,13,7.1,3,1.3,2,1.3,15,2.4,2,1.3,15,2.4,15,1,2,2.6,16,2.4,15,0.2,0,0.8,1,2,2,2,3,4.1,3,1.5,16,2,16,1.2,1
2020年4月1日14時,2.5,2,2,16,0.1,0,2.9,2,1.7,15,8,3,1,1,1.8,16,1.6,15,1.4,15,3.9,15,0.9,2,0.8,15,1.4,16,1.3,15,2.6,15,3.5,15,3.4,3,2.6,3,2.5,15,2.3,16,2.9,14
2020年4月1日15時,1.5,2,4.4,16,1.1,2,0.9,8,2,15,7.9,2,3.7,2,3,15,3.9,16,3.7,14,4.2,15,0.9,16,1,16,3.3,14,1.4,15,0.8,15,2.3,15,2,16,3.5,13,3.6,15,3.9,16,4.2,14
2020年4月1日16時,2.5,16,3.5,16,5.9,13,2.8,13,1.2,15,5.7,2,1.8,2,1.5,15,5.1,16,3,15,6.1,14,2.3,3,1.9,16,3.7,15,1.3,16,2.2,16,3.3,14,5.9,15,4,14,4.5,15,4.8,15,4.2,15
2020年4月1日17時,1.9,13,3.1,16,2.6,12,4.9,15,4.8,14,10.4,16,1.7,3,3.5,15,5,15,7.7,14,7.4,14,2.7,3,3.1,1,4.4,15,4.9,1,2.1,15,6.5,14,5.7,14,10.2,12,7.3,15,10.1,13,4.4,13
2020年4月1日18時,2.7,15,7.4,16,3.7,13,1.6,10,3.3,15,11.6,15,1.6,3,4.2,14,4.6,14,6.5,15,8.8,14,1.9,3,3.6,1,5.3,15,2.8,16,3.4,14,6.4,14,6.5,15,9.3,12,7.4,15,11.5,13,6.8,13
2020年4月1日19時,3.8,13,6.8,14,4.3,13,2.1,13,4.6,14,12.1,15,2.4,15,4.3,14,2.8,15,7.3,14,6.2,14,4.2,3,2.8,1,5.3,15,3.7,16,3.3,15,5.2,15,8.1,14,6.9,12,6.4,15,6.7,14,5.4,14
2020年4月1日20時,2.5,12,5.2,15,5.3,13,3.6,13,5.7,15,9.1,16,2.4,13,6,15,1.8,14,2.8,15,2.8,15,5.3,3,2.9,1,4.6,15,3.9,16,1.7,16,4.8,14,9.8,14,5.8,13,3.1,16,6.8,13,5.8,13
2020年4月1日21時,1.8,13,5.1,16,4.4,14,2.5,14,5.3,14,8,16,1.9,7,4.6,15,2.6,15,2,15,2.8,1,3.6,3,1.3,16,3.9,15,2.7,16,0.9,16,4.3,14,9.3,14,6.5,13,3.9,15,4.3,13,4.4,13
2020年4月1日22時,1.8,12,3.9,15,4.1,13,3.4,15,6.1,13,8.1,15,1.3,6,4.3,15,4.4,15,5.3,14,4.6,15,1.3,1,0.6,2,4.6,14,0.5,15,0.4,11,5.9,14,5.9,14,6,13,5,15,8.7,13,5.5,14
2020年4月1日23時,3.9,13,4.1,15,3.7,13,3.7,13,3.8,13,10.6,15,2.3,13,2.6,14,4.4,15,5.8,15,4.9,15,0.9,4,1.5,1,1.4,14,0.6,15,1,10,3.1,14,4.3,13,7.1,12,3.8,16,6,14,6.8,14
2020年4月1日24時,4.5,13,4.8,15,6,13,1.7,11,4.4,13,9.8,14,2.8,12,2.9,14,2.2,14,3.2,14,3.5,15,1.8,3,2,1,4.4,15,1.1,16,0.6,10,3.5,14,5.2,13,6.2,12,4.9,15,7.7,13,5.8,13
2020年4月2日1時,2.4,14,4.6,15,4.9,13,5.1,15,5.6,14,6.6,15,1.9,13,2.2,13,0.9,8,1.6,13,2.8,15,2.2,2,1.6,16,3.1,15,1.1,15,1.5,15,3,14,6.9,14,7.5,13,4.1,15,3.6,14,8.1,14
2020年4月2日2時,3.5,12,2.9,14,4.6,13,3.1,16,3.8,13,6.3,14,1.6,15,2.5,13,0.5,7,0.7,16,2.8,15,1.2,11,1.3,1,4.4,15,0.7,15,1,13,3.5,13,5.5,14,7.5,13,1.7,1,6.5,13,4.3,14
2020年4月2日3時,1.9,13,3.3,15,4.6,13,4.3,14,5,13,7.1,14,1.5,15,2.1,14,0.2,0,1.5,5,1.4,4,0.3,15,0.4,4,2.5,15,0.2,0,0.5,14,3.4,13,2.4,13,5.9,12,1.8,15,6.4,13,5.1,13
2020年4月2日4時,1.9,13,0.8,12,3.3,13,3.2,13,6.1,13,6.8,13,0.8,3,1.9,12,1.3,9,0.7,7,0.6,4,0.8,2,1.1,15,1.9,16,0.5,5,0.5,16,3.2,12,1.1,12,7.1,12,1,16,6.5,13,3.2,13
2020年4月2日5時,2.4,12,1.7,10,2.4,13,2.1,8,3.6,13,6.9,14,1,12,0.9,14,1.1,13,0.8,13,0.8,1,0.8,16,1.3,16,0.4,9,0.3,3,1.3,13,3.1,12,1.3,13,7.1,12,1.4,13,6,13,4.3,12
2020年4月2日6時,3.1,12,1.7,10,2.2,13,2.1,10,2.5,12,6,14,1.8,13,1.3,9,3.9,15,2.4,16,0.5,6,0.3,13,0.8,16,0.9,4,0.6,6,0.1,0,4.9,12,0.2,0,8.5,12,4,16,5.9,13,5.9,13
2020年4月2日7時,3.6,13,1.3,12,3.4,13,2.5,12,2.2,12,7.7,14,2.6,13,1.9,11,4.8,15,3.3,14,0.9,5,0.7,3,0.2,0,1,7,0.4,6,0.1,0,3.7,13,3.2,12,7.8,12,2.8,15,7,13,6.1,13
2020年4月2日8時,2.4,13,2.5,13,3.8,13,3.2,13,2.1,10,9.4,15,0.9,15,2.1,14,4.3,15,4,15,1.1,15,0.5,3,0.9,16,0.5,12,0.2,0,1.3,12,2.1,14,3.3,13,6.8,13,4.1,15,8.9,13,5.6,13
2020年4月2日9時,2.7,13,2,13,4.3,13,4.4,13,1.9,15,6.4,15,1.5,15,1.6,13,4.9,16,3.1,15,3,14,0.7,7,0.6,16,2.3,14,2.3,16,2,14,4.3,15,4.9,15,7.7,13,2.9,16,8,13,4.5,13
2020年4月2日10時,3,13,2.9,11,4.4,13,4.6,15,6.8,13,8,15,0.7,12,2.3,13,2.1,15,4.4,15,5.7,15,1.8,2,0.2,0,0.4,12,2.5,16,3.6,13,6,15,5.9,14,6.7,13,4.9,1,8.8,13,4.4,13
2020年4月2日11時,2.9,12,5.7,12,4.3,13,4.8,14,6.7,14,8.4,14,1.2,12,2.9,13,1.8,11,2.9,13,3,14,1.4,2,2.1,16,2.6,14,2,16,3.3,14,3.1,15,11.8,15,9.5,13,2.9,16,3.7,15,7.8,14
2020年4月2日12時,2.7,12,3.8,11,5.6,13,3.8,12,4.4,14,7.8,15,2.1,12,2.4,13,3,14,3.1,13,2.6,15,3.7,3,1.9,16,4.9,15,2.4,16,2.3,14,2.8,15,8.1,15,7.2,13,3.5,15,4.1,14,5.3,13
2020年4月2日13時,4.5,13,2.5,12,5.1,13,4.7,14,6.1,14,6.7,15,1.2,12,3.5,15,3.3,15,3.4,14,5.2,16,2.7,16,2.4,16,4.8,15,2.3,16,3,16,4.5,16,7.2,15,9.6,13,3,16,7,13,7.3,14
2020年4月2日14時,4.6,14,3.7,13,5.7,13,6.9,15,4.2,15,6.4,14,1,14,3.3,13,4.6,16,4.5,14,3,15,1.4,2,4.2,14,4.8,14,2.5,15,3.6,14,4.5,15,7.2,14,7.4,15,3.4,16,4.9,16,6.3,14
2020年4月2日15時,4.9,14,4.7,15,4,14,3.3,14,6.2,14,7.6,13,1.2,13,2.8,15,3,14,5.1,14,3.2,16,2,16,3.1,14,4.5,14,2.7,16,1.6,15,4.6,15,5.5,14,8.1,15,4,16,5.3,15,5.2,14
2020年4月2日16時,5.4,13,4.6,14,3.5,1,4,15,3.5,15,8.1,13,3.8,11,3.1,15,3.1,15,3.2,15,3.2,16,1.9,16,3.2,14,4.2,15,1.4,15,1.3,14,3,16,5.1,14,6.9,14,3.6,15,4.1,16,4.5,14
2020年4月2日17時,5.2,14,4.6,15,2,13,2.5,14,5,14,6.7,13,1,1,4,14,3,14,4.8,15,3.4,14,1,10,3.3,14,4.3,15,2.1,15,2.8,15,3.3,15,4.3,15,5.9,15,4.7,15,2.7,16,4.4,14
2020年4月2日18時,3.4,13,3.7,15,2.7,15,2.9,1,4.8,14,5.7,13,3,12,2.5,14,1.3,14,2.8,15,3.9,14,0.5,10,1,16,2.9,15,1.4,16,0.6,16,3.2,16,5.3,14,4,15,2,15,1.9,1,4.3,14
2020年4月2日19時,1.4,12,2.5,14,1.5,13,2.3,15,3.7,14,4,13,1.5,12,0.8,1,1.4,9,0.9,14,0.7,16,0.4,15,1.9,16,0.4,2,0.6,14,0.7,14,3,16,2.5,16,2.8,15,0.9,14,1.9,16,3.9,15
2020年4月2日20時,1,12,0.8,3,1.3,13,1.6,14,2.5,13,3.5,13,1.1,2,1,12,1.8,8,0.6,16,0.3,14,0.1,0,0.7,2,1.5,5,0.6,5,0.7,15,2.5,16,0,0,1,16,0.4,10,1.9,2,3.1,15
2020年4月2日21時,1.3,12,0.7,10,2.7,13,1.3,12,1.4,12,3.5,14,0.3,3,0.2,0,2.6,6,1.1,7,0.4,2,0.4,10,1.3,16,1.2,5,0,0,0.9,14,2.4,1,0.8,12,1.7,7,0.8,11,1.6,1,0.4,12
2020年4月2日22時,2.1,12,0.9,3,2.6,13,1.3,1,1.1,12,2.1,13,0.3,15,1,11,2.3,6,0.3,10,0,0,0.5,9,1.1,1,0.5,5,0.2,0,0.6,16,2.6,16,0.3,15,2,5,0.9,12,1.3,16,0.6,9
2020年4月2日23時,2.2,12,0.6,11,2,14,0.9,16,1.2,5,0.4,8,0,0,0.8,11,2,6,0.5,4,1,8,0.9,8,0.8,16,1.3,7,0,0,0.3,15,1.5,1,0.8,15,1.1,5,1.4,10,1.5,16,1.3,7
2020年4月2日24時,2,12,0.7,11,0.4,9,1.9,1,0.8,7,1.3,9,0.2,0,0.5,12,1.6,7,0.7,5,0.5,15,0.6,9,1.3,16,0.2,0,0.1,0,0.3,14,2,2,0.8,15,1.1,3,1.5,11,1.1,3,1,7
2020年4月3日1時,2.7,13,2.4,11,0.4,10,1.2,2,0.9,6,1.8,7,1,5,0.8,10,2.5,7,0.5,3,0.1,0,0.7,10,0.6,2,0.7,4,0.5,5,0.9,15,0.9,2,0,0,0.2,0,1.2,11,2,3,0.5,6
2020年4月3日2時,2,12,0,0,0,0,2.4,16,1.3,5,1.7,7,0.4,16,0.5,9,2.1,7,0.4,7,0,0,0.8,9,0.1,0,0.2,0,1,16,0.4,15,1.7,16,0,0,1.4,8,0.4,13,1.5,3,0.9,6
2020年4月3日3時,2.6,13,0.1,0,1.1,13,1.1,1,1.1,4,2,7,0.4,1,0.4,5,2.3,9,0.9,8,0.8,9,0.7,4,0.1,0,0.3,12,0.5,3,0.2,0,1.7,1,0,0,0.8,6,0.9,12,2.1,3,1.3,7
2020年4月3日4時,2.2,13,0.2,0,0.1,0,1.5,2,1.6,5,2.6,6,2.4,1,1,8,1.2,8,0.9,8,2.1,10,0.9,9,0.5,2,1,4,0.5,4,0.2,0,2.3,2,1.4,15,0.7,7,0.8,10,1.3,3,1.1,7
2020年4月3日5時,1.7,12,0.8,11,0.1,0,0.6,2,1,5,2.6,6,1,1,0.7,2,1.6,8,1.4,5,1.2,9,1,8,0.7,2,0.8,4,0.4,1,0.3,15,2,2,0,0,0.6,7,0.8,11,1.2,2,0.9,6
2020年4月3日6時,2.5,11,2.4,10,0.3,12,0.6,16,1,6,3.4,6,2.8,1,1.1,4,2.6,7,1,8,1.6,9,0.8,8,0.3,3,0.4,6,0.4,2,0.6,15,1.7,2,0.2,0,0.3,7,1.2,10,1.4,2,0.9,7
2020年4月3日7時,2.2,13,1.2,11,0.1,0,1.3,2,1,6,1.5,6,2.1,1,1.3,11,3,7,1,6,0.8,7,0.8,8,0.1,0,0.5,4,0.8,5,0.4,16,1.8,2,0.7,15,0.6,11,0,0,0.3,2,1.1,6
2020年4月3日8時,1.6,7,0.5,3,1,9,1.3,2,0.5,4,0.6,3,0.8,2,1.1,3,2.2,6,0.9,7,0.5,4,1.2,8,0.2,0,0.6,13,0,0,0.5,2,1.7,2,0.1,0,0,0,0.4,3,0.2,0,0,0
2020年4月3日9時,2.5,8,0.5,15,0.4,4,0.3,2,0.5,2,1,12,0.6,14,0.9,10,1.8,5,1,3,0.1,0,2,8,0.5,8,1,13,0.3,12,0.2,0,1.8,2,0.1,0,2.1,2,1.2,5,1.1,10,1.2,14
2020年4月3日10時,4.2,7,3.1,12,0.7,7,1,6,0.9,6,0.9,11,1,10,0.6,11,1.4,3,1.2,6,0.9,11,1.5,8,1.2,7,0.7,1,0.8,10,1.4,7,1.8,3,0.5,8,1.7,2,1.2,5,2,10,1.6,14
2020年4月3日11時,2.4,6,3.5,13,0.9,4,1.8,6,1.7,5,1.8,16,0.4,15,0.5,2,3.2,16,1.7,5,1,6,1.7,8,3.5,7,1.1,14,0.6,11,1.7,8,2.3,8,1.2,3,1.5,15,2.5,5,2.9,10,2.5,14
2020年4月3日12時,1.7,4,3.7,12,1,3,2,10,0.9,5,2,3,0.5,3,1,8,3.3,16,1.2,6,1,1,2.9,8,3.5,7,1.2,8,0.7,9,1.6,7,2.4,8,1.1,14,3.4,2,2.8,7,2.8,10,2.3,14
2020年4月3日13時,2.9,7,2.2,14,1.9,3,2.8,8,1,3,3.7,3,2,4,0.9,4,3,16,2,8,1.7,2,2.6,8,2.2,8,1.2,8,0.8,11,1.4,7,2.7,7,1,1,3,3,2,5,1.8,9,1.7,14
2020年4月3日14時,2.6,7,1.3,14,1.9,4,1.7,8,0.5,2,2.4,2,2.4,11,1.4,7,2.8,15,2.2,7,4.3,9,3.1,8,2.6,8,2.8,8,1,9,1.7,9,2.9,7,3.1,11,1.8,2,1.9,15,2.4,11,1.8,14
2020年4月3日15時,1.7,4,1.5,16,2.6,6,2.5,8,0.9,4,3.1,3,1.9,12,4.2,7,4.1,16,2.4,4,4.5,9,3.2,9,3.7,8,2.8,11,1,9,2.2,9,2.9,7,2.3,10,1.5,2,2.6,8,1.7,9,1.6,14
2020年4月3日16時,1.4,2,1.4,16,2.9,5,3.1,9,1.5,5,1.9,2,2.2,9,2.2,9,3.8,16,2.5,16,5,9,2.9,9,2.9,8,2,9,0.7,9,2.2,9,2,9,2.7,12,0.8,3,1.8,8,2.1,12,1.2,14
2020年4月3日17時,0.9,4,2.2,10,1.7,7,3,10,1.9,4,1.8,4,2.3,9,3.2,8,2.5,1,3.1,14,5.6,10,2.5,9,2.1,8,1.8,10,1.1,8,1.2,8,1.1,8,3.1,11,1.4,3,1.7,8,1.2,9,0.4,12
