測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2013,08201030,201,NO  ,PPB   , 4, 1,   0,   0,   0,   0,   0,   1,   3,   4,   2,   1,   2,   2,   1,   1,   1,   1,   0,   1,   0,   1,   0,   1,   0,   0
2013,08201030,201,NO  ,PPB   , 4, 2,   0,   0,   0,   0,   0,   0,   0,   1,   2,   3,   5,   6,   3,   2,   2,   1,   2,   1,   2,   1,   1,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4, 3,9999,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1
2013,08201030,201,NO  ,PPB   , 4, 4,   0,   0,   0,   0,   1,   3,  10,  13,   2,   1,   1,   1,   1,   1,   1,   1,   0,   1,   1,   1,   1,   0,   1,   0
2013,08201030,201,NO  ,PPB   , 4, 5,   0,   0,   0,   0,   0,   0,   1,   1,   2,   1,   1,   2,   1,   1,   1,   1,   1,   1,   0,   1,   1,   1,   1,   1
2013,08201030,201,NO  ,PPB   , 4, 6,   1,   2,   3,   1,   1,   1,   4,   6,   5,   2,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4, 7,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4, 8,   0,   0,   0,   0,   0,   1,   3,   1,   1,   1,   1,   1,   0,   0,   1,   1,   1,   0,   0,   1,   1,   1,   1,   0
2013,08201030,201,NO  ,PPB   , 4, 9,   0,   0,   0,   0,   0,   1,   1,   3,   4,   4,   3,   2,   3,9999,9999,   1,   1,   1,   0,   1,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,10,9999,   0,   0,   0,   0,   0,   1,   2,   2,   1,   1,   1,   1,   1,   0,   1,   1,   1,   1,   1,   1,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,11,   0,   0,   0,   0,   0,   0,   0,   1,   2,   1,   1,   1,   1,   1,   1,   1,   1,   0,   2,   1,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,12,   0,   0,   0,   0,   1,   1,   4,   2,   1,   2,   1,   1,   1,   1,   1,   1,   1,   0,   1,   0,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,13,   0,   0,   0,   0,   0,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   1,   1,   1,   0,   0
2013,08201030,201,NO  ,PPB   , 4,14,   0,   0,   0,   0,   0,   1,   3,   3,   2,   2,   2,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,15,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   1,   0,   0
2013,08201030,201,NO  ,PPB   , 4,16,   0,   0,   0,   0,   0,   3,  11,  13,   3,   1,   1,   1,   1,   1,   1,   0,   1,   1,   1,   0,   0,   0,   0,   1
2013,08201030,201,NO  ,PPB   , 4,17,9999,   0,   0,   1,   1,   0,   2,   6,   6,   7,   3,   3,   1,   1,   1,   0,   1,   1,   1,   1,   1,   3,   1,   1
2013,08201030,201,NO  ,PPB   , 4,18,   1,   0,   0,   0,   0,   0,   2,   2,   2,   1,   2,   1,   1,   2,   1,   1,   1,   1,   1,   1,   1,   1,   0,   1
2013,08201030,201,NO  ,PPB   , 4,19,   1,   0,   0,   0,   0,   0,   1,   2,   2,   3,   1,   1,   1,   0,   1,   0,   0,   0,   1,   1,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,20,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   0,   0,   1,   1,   0,   0,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,21,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0
2013,08201030,201,NO  ,PPB   , 4,22,   0,   0,   0,   0,   1,   3,   9,   5,   2,   1,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   1
2013,08201030,201,NO  ,PPB   , 4,23,   0,   0,   0,   0,   0,   1,   2,   3,   2,   2,   1,   1,   1,   1,   1,   1,   0,   0,   1,   1,   1,   1,   1,   1
