,0
SHAP_OX_01,6.6595079261129095
SHAP_TEMP_01,4.770071110745085
SHAP_HUM_01,1.792076574049409
SHAP_TEMP_03,1.647621140340799
SHAP_WS_01,1.56037331190963
SHAP_TEMP_04,1.3278481199573104
SHAP_TEMP_22,1.2593313441668792
SHAP_OX_02,1.2394016057230532
SHAP_TEMP_06,1.1955844948824184
SHAP_TEMP_05,1.1811519685755794
SHAP_TEMP_23,1.0907355436719866
SHAP_TEMP_02,0.8796776871261806
SHAP_TEMP_07,0.837757372450621
SHAP_TEMP_18,0.7862279091010336
SHAP_TEMP_10,0.7510969417286242
SHAP_TEMP_21,0.7140419024662445
SHAP_TEMP_17,0.6901914736779524
SHAP_TEMP_11,0.630793997852444
SHAP_NO2_01,0.5833390901895705
SHAP_NO_01,0.5795734117748099
