測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2019,09201580,201,CO  ,0.1PPM, 4, 1,   2,   2,   2,   2,   2,   3,   3,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   3,   2,   2,   2,   3,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4, 2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   4
2019,09201580,201,CO  ,0.1PPM, 4, 3,   3,   3,   2,   2,   2,   3,   3,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   4,   3,   3,   4,   4
2019,09201580,201,CO  ,0.1PPM, 4, 4,   4,   3,   3,   3,   2,   3,   4,   4,   4,   2,   3,   2,   2,   2,   2,   2,   3,   3,   4,   3,   4,   3,   4,   4
2019,09201580,201,CO  ,0.1PPM, 4, 5,   3,   2,   2,9999,   2,   3,   3,   4,   3,   3,   3,9999,   2,   2,   3,   2,   2,   2,   2,   3,   2,   3,   3,   3
2019,09201580,201,CO  ,0.1PPM, 4, 6,   3,   3,   3,   2,   2,   3,   4,   3,   3,   2,   2,   2,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4, 7,   2,   2,   2,   2,   2,   2,   3,   3,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3
2019,09201580,201,CO  ,0.1PPM, 4, 8,   3,   2,   2,   2,   2,   2,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   3,   4,   3,   3,   2,   2,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4, 9,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4,10,   2,   2,   2,   2,   2,   2,   3,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3,   4,   3,   2,   2,   2,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4,11,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4,12,   2,   2,   2,9999,   2,   3,   3,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3
2019,09201580,201,CO  ,0.1PPM, 4,13,   3,   3,   2,   2,   3,   2,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   4,   3,   2,   2,   3
2019,09201580,201,CO  ,0.1PPM, 4,14,   3,   3,   2,   2,   2,   2,   3,   3,   3,   3,   3,   2,   3,   3,   3,   3,   3,   2,   3,   3,   3,   2,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4,15,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   2,   3,   3
2019,09201580,201,CO  ,0.1PPM, 4,16,   2,   2,   2,   2,   2,   3,   3,   3,   3,   2,   2,   2,   2,   2,   2,   2,   3,   3,   4,   3,   3,   3,   5,   3
2019,09201580,201,CO  ,0.1PPM, 4,17,   3,   3,   3,   3,   3,   3,   4,   4,   3,   3,   3,   3,   3,   3,   3,   4,   3,   3,   3,   4,   4,   3,   3,   3
2019,09201580,201,CO  ,0.1PPM, 4,18,   3,   3,   3,   3,   3,   3,   4,   4,   3,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   3,   3
2019,09201580,201,CO  ,0.1PPM, 4,19,   2,   2,   2,9999,   2,   3,   3,   4,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   2,   2,   2
2019,09201580,201,CO  ,0.1PPM, 4,20,   2,   2,   2,   2,   2,   2,   2,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   4,   3,   3,   3,   3
2019,09201580,201,CO  ,0.1PPM, 4,21,   2,   2,   2,   2,   2,   3,   3,   3,   3,   4,   3,   3,   3,   2,   3,   2,   3,   3,   3,   3,   3,   4,   2,   2
