測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2016,10201060,201,NOX ,PPB   , 5, 1,   6,   5,   5,   4,   4,   6,   6,   5,   5,   6,   5,   5,   6,   6,   5,   5,   4,   3,   4,   4,   3,   5,   5,   6
2016,10201060,201,NOX ,PPB   , 5, 2,   9,   8,   7,   7,   7,   8,   7,  10,  12,  10,9999,   9,   9,  11,  11,  11,  10,  11,  13,  13,  10,  12,  12,  10
2016,10201060,201,NOX ,PPB   , 5, 3,   9,  10,  11,  11,  11,  11,  13,  12,  10,  10,   9,   8,   7,   7,   6,   6,   6,   7,   8,   7,   7,   6,   6,   5
2016,10201060,201,NOX ,PPB   , 5, 4,   5,   4,   4,   4,   4,   4,   4,   5,   6,   6,   5,   5,   4,   3,   3,   3,   3,   3,   4,   5,   5,   4,   4,   5
2016,10201060,201,NOX ,PPB   , 5, 5,   7,   5,   8,   7,   5,   6,   6,   4,   2,   3,   2,   2,   3,   2,   2,   3,   3,   3,   2,   2,   2,   2,   3,   2
2016,10201060,201,NOX ,PPB   , 5, 6,   2,   3,   4,   4,   3,   5,   6,   7,   7,   6,   7,   6,   6,   9,  10,  16,  17,  16,  14,   9,   9,   7,   8,   8
2016,10201060,201,NOX ,PPB   , 5, 7,  11,  13,  14,  12,  17,  17,  19,  12,  10,   8,   7,   7,   6,   6,   6,   6,   5,   5,   3,   3,   2,   2,   2,   2
2016,10201060,201,NOX ,PPB   , 5, 8,   2,   2,   1,   1,   1,   1,   3,   3,   3,   3,   3,   3,   3,   2,   2,   2,   2,   2,   4,   8,   7,   5,   5,   7
2016,10201060,201,NOX ,PPB   , 5, 9,   6,   5,   4,   4,   4,   5,   8,   8,   9,  10,   8,  10,  10,  12,  10,   8,  11,  12,  13,  11,  10,   7,   5,   4
2016,10201060,201,NOX ,PPB   , 5,10,   4,   4,   4,   5,   5,   6,   8,  13,  10,   7,   6,   6,   6,   7,   7,   8,  10,  10,  11,  10,   8,   8,   6,   6
2016,10201060,201,NOX ,PPB   , 5,11,   7,   5,   5,   6,   6,   7,   8,   8,   9,   9,  11,   9,9999,  11,  16,  12,  14,  15,  18,  13,   6,   6,   4,   5
2016,10201060,201,NOX ,PPB   , 5,12,   4,   4,   4,   4,   4,   6,   6,   7,   7,   6,   6,   6,   5,   6,   4,   5,   9,  10,  12,  15,  14,  12,  11,  11
2016,10201060,201,NOX ,PPB   , 5,13,  11,  15,  16,  16,  12,  12,  17,  15,  14,  12,  10,  10,  10,   9,   9,   9,  10,  11,  14,  15,  20,  17,  14,  13
2016,10201060,201,NOX ,PPB   , 5,14,  14,  14,  15,  11,  12,  11,  12,  12,   9,   8,   8,   7,   8,   9,   8,   6,   7,   8,   9,   8,   8,   9,  10,   8
2016,10201060,201,NOX ,PPB   , 5,15,   9,   8,   8,   8,  11,  10,  11,  12,   9,   8,   7,   7,   7,   7,   6,   5,   5,   6,   6,   6,   6,   6,   5,   4
2016,10201060,201,NOX ,PPB   , 5,16,   5,   5,   5,   5,   5,   6,   7,   9,  11,  11,  12,  16,  15,  14,  17,  21,  22,  20,  20,  18,  19,  19,  14,  15
2016,10201060,201,NOX ,PPB   , 5,17,  16,  17,  18,  20,  16,  15,  15,  14,  14,  19,  18,  16,  12,  11,   9,   8,   8,  20,  19,  21,  22,  14,  11,  11
2016,10201060,201,NOX ,PPB   , 5,18,   8,   7,   7,   7,   7,   9,  10,  11,  10,   8,   8,9999,   5,   4,   4,   5,   5,   7,   8,   9,  11,  13,  11,  13
2016,10201060,201,NOX ,PPB   , 5,19,  10,   8,   9,   8,   8,   6,   6,   8,   6,   4,   4,   5,   4,   5,   5,   7,   8,   7,   6,   6,   6,   7,  10,  12
2016,10201060,201,NOX ,PPB   , 5,20,  10,   9,   9,   8,  11,  13,  14,  12,  13,  11,   9,  10,   8,  11,   9,  10,  10,   8,   8,   9,  10,   9,  10,   9
2016,10201060,201,NOX ,PPB   , 5,21,   6,  11,  10,   9,   9,  10,   8,   8,   8,   8,   8,   6,   6,   6,   7,   6,   7,   5,   5,   6,   7,   8,   6,   8
2016,10201060,201,NOX ,PPB   , 5,22,   7,   6,   4,   4,   4,   3,   3,   4,   3,   4,   2,   2,   2,   2,   2,   2,   2,   3,   4,   4,   5,   8,   9,   8
2016,10201060,201,NOX ,PPB   , 5,23,   8,   6,   4,   3,   4,   6,   5,   6,   7,   6,   6,   4,   2,   3,   4,   6,   6,   6,  10,  15,  16,  12,  11,   9
2016,10201060,201,NOX ,PPB   , 5,24,   8,   7,   6,   7,   7,   8,   8,   7,   8,   9,   8,   9,   9,  10,  10,   7,   9,   9,   9,   8,   8,   7,   8,   6
2016,10201060,201,NOX ,PPB   , 5,25,   6,   7,   6,   6,   7,  10,  18,  13,  10,  12,  12,9999,   9,  11,  14,  14,  11,  13,  14,  13,  14,  11,  12,  13
2016,10201060,201,NOX ,PPB   , 5,26,  11,  10,   9,  11,  11,  12,  12,  10,  10,  11,   8,   9,   8,   9,  10,   7,   6,   5,   6,   6,   7,  12,  11,  11
2016,10201060,201,NOX ,PPB   , 5,27,  11,  11,  14,  13,  16,  14,   9,   4,   4,   7,   7,   6,   5,   6,  12,   9,   8,   8,  10,  10,  10,  11,  11,  11
2016,10201060,201,NOX ,PPB   , 5,28,  10,   7,   4,   3,   4,   4,  10,  11,  10,  10,  10,  12,   8,   6,   8,   9,   9,   9,  11,  15,  14,  11,  10,   9
2016,10201060,201,NOX ,PPB   , 5,29,   7,   5,   5,   5,   4,   3,   4,   7,   6,   5,   5,   5,   5,   5,   5,   5,   7,   6,   5,   6,   5,   4,   4,   4
2016,10201060,201,NOX ,PPB   , 5,30,   3,   4,   4,   2,   2,   3,   6,   6,   4,   6,   5,   5,   6,   6,   6,   6,   5,   6,   8,   8,   6,   6,   6,   5
2016,10201060,201,NOX ,PPB   , 5,31,   7,   6,   7,   8,   8,  11,   9,   8,   6,   7,   8,   5,   7,   7,   5,   6,   7,   7,  11,  11,  12,  11,   8,   9
2016,10201060,201,NOX ,PPB   , 6, 1,  12,   6,   2,   1,   2,   2,   3,   4,   5,   3,   4,   3,9999,   3,   3,   3,   2,   3,   3,   3,   3,   2,   2,   1
2016,10201060,201,NOX ,PPB   , 6, 2,   1,   2,   3,   4,   3,   4,   2,   2,   3,   3,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   2,   3,   2,   2
2016,10201060,201,NOX ,PPB   , 6, 3,   5,   2,   2,   2,   4,   6,   5,   4,   4,   4,   5,   4,   4,   5,   5,   6,   6,   6,   6,   7,   8,   8,   8,   8
2016,10201060,201,NOX ,PPB   , 6, 4,   9,   7,   7,   5,   6,   5,   5,   6,   6,   7,   7,   6,   5,   6,   6,   5,   5,   6,   7,   8,   8,   7,   7,   6
2016,10201060,201,NOX ,PPB   , 6, 5,   7,   7,   6,   6,   5,   5,   5,   8,   9,   6,   4,   4,   4,   4,   4,   4,   4,   4,   4,   7,   9,   8,   9,   7
2016,10201060,201,NOX ,PPB   , 6, 6,   8,   8,  10,  10,   9,   9,   9,  12,  13,  11,   9,   7,   5,   5,   5,   5,   5,   6,   6,   6,   6,   5,   4,   4
2016,10201060,201,NOX ,PPB   , 6, 7,   3,   3,   4,   4,   6,   6,   6,   8,   9,  10,  10,  10,   9,  10,  11,  13,  18,  24,  18,  14,  11,  11,  14,  13
2016,10201060,201,NOX ,PPB   , 6, 8,  10,   6,   5,   5,   7,   8,  10,  10,  12,  13,  13,  10,   8,   6,9999,   6,   9,  10,   9,   8,   6,   6,   9,   7
2016,10201060,201,NOX ,PPB   , 6, 9,   5,   4,   5,   8,   8,   7,   6,   9,  10,  12,  13,  10,   8,   6,   6,   6,   8,   7,   7,  10,  10,   8,   6,   5
2016,10201060,201,NOX ,PPB   , 6,10,   7,   5,   6,   6,   6,   8,   7,  11,   7,   4,   4,   5,   4,   4,   5,   4,   6,   7,   9,   9,   8,   6,   7,   7
2016,10201060,201,NOX ,PPB   , 6,11,   7,   7,   7,  10,  10,   8,   9,   9,   8,   7,   7,   6,   5,   6,   7,   6,   5,   6,   6,   5,   6,   6,   5,   5
2016,10201060,201,NOX ,PPB   , 6,12,   4,   5,   7,   8,   8,   7,   8,   7,   5,   5,   5,   5,   5,   5,   5,   6,   5,   5,   5,   5,   6,   7,   4,   3
2016,10201060,201,NOX ,PPB   , 6,13,   4,   4,   4,   4,   4,   4,   4,   5,   6,   8,   8,   6,   4,   7,   5,   5,   6,   6,   7,   9,  13,  14,   7,   8
2016,10201060,201,NOX ,PPB   , 6,14,  11,   9,   8,  15,  13,  17,  18,  16,  14,  12,  10,   7,   5,   6,   6,   7,   7,   8,   7,   8,   6,   5,   5,   4
2016,10201060,201,NOX ,PPB   , 6,15,   4,   4,   3,   2,   3,   5,   6,   7,  10,  10,  10,  10,9999,  10,  12,  10,  11,  12,  14,  12,  10,   7,   6,   5
2016,10201060,201,NOX ,PPB   , 6,16,   4,   4,   4,   5,   5,   5,   5,   8,  11,  13,  16,  14,  11,  14,  13,  11,   9,  10,  15,  18,  13,   8,   5,   4
2016,10201060,201,NOX ,PPB   , 6,17,   3,   4,   6,   7,   8,   7,   8,  10,  10,   8,   6,   4,   4,   4,   4,   5,   4,   4,   3,   3,   3,   3,   6,   5
2016,10201060,201,NOX ,PPB   , 6,18,   5,   6,   6,   7,   6,   5,   7,  10,   5,   3,   3,   3,   3,   3,   2,   3,   3,   4,   6,   9,  10,   9,   7,   9
2016,10201060,201,NOX ,PPB   , 6,19,   5,   4,   5,   4,   3,   4,   6,   7,   5,   5,   5,   5,   5,   5,   4,   4,   5,   4,   5,   5,   6,   4,   5,   4
2016,10201060,201,NOX ,PPB   , 6,20,   3,   2,   3,   3,   5,   5,   6,   8,   8,   7,   7,   7,   7,   6,   7,   6,   6,   9,  13,  15,   9,   8,   9,   7
2016,10201060,201,NOX ,PPB   , 6,21,   7,   6,   6,   6,   8,  11,  10,  17,  19,  25,  15,  14,   9,   8,   7,   5,   4,   6,   6,   7,  15,  13,  12,   9
2016,10201060,201,NOX ,PPB   , 6,22,   9,   9,   8,   6,   7,  11,  12,  13,  15,  13,  10,  11,  12,9999,  12,  10,  15,  15,  17,  15,  12,   9,   8,   7
2016,10201060,201,NOX ,PPB   , 6,23,   7,   6,   7,   7,   7,  10,  10,  11,  13,  14,  14,  11,   8,   6,   6,   6,   6,   8,   9,   5,   5,   6,   5,   4
2016,10201060,201,NOX ,PPB   , 6,24,   9,   7,   8,   9,   7,  10,  11,  13,  14,  18,  12,  11,   8,   9,  11,  12,  14,  18,  15,  11,  10,   9,   7,   8
2016,10201060,201,NOX ,PPB   , 6,25,   6,   5,   6,   6,   8,   9,   9,  10,   9,  12,  11,  11,  10,   9,   8,   9,  10,  13,  16,  15,  15,  18,  13,   5
2016,10201060,201,NOX ,PPB   , 6,26,   3,   4,   4,   4,   3,   3,   3,   4,   4,   4,   3,   3,   3,   3,   3,   3,   4,   4,   4,   3,   3,   3,   3,   4
2016,10201060,201,NOX ,PPB   , 6,27,   5,   4,   5,   4,   4,   5,   6,   7,   6,   6,   6,   5,   6,   6,   8,   7,   8,   9,  11,   9,   7,   7,   8,   7
2016,10201060,201,NOX ,PPB   , 6,28,   9,   9,  10,   7,   6,   6,   6,   6,   7,   8,   9,   7,   5,   6,   6,   7,   7,   8,   9,  11,  11,   9,   9,   8
2016,10201060,201,NOX ,PPB   , 6,29,   9,   9,  10,  12,  12,  12,  11,  13,  11,  12,  12,  10,9999,   8,   8,   8,  11,  14,  13,  14,  10,   8,   7,   8
2016,10201060,201,NOX ,PPB   , 6,30,   7,   6,   5,   5,   5,   6,   7,  10,  11,   8,   8,   7,   7,   7,   7,   9,  10,  12,  13,  11,  12,  11,  12,  15
2016,10201060,201,NOX ,PPB   , 6,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2016,10201060,201,NOX ,PPB   , 7, 1,  15,  15,  13,   8,  10,  16,  14,  18,  14,  14,   9,   8,   6,   6,   6,   6,   6,   8,  10,  10,  14,  15,  12,  11
2016,10201060,201,NOX ,PPB   , 7, 2,   9,   9,   9,   9,   6,   7,   7,   8,   8,   8,   9,   9,   8,   8,   9,   9,   9,   9,   9,  10,  12,  10,  10,   9
2016,10201060,201,NOX ,PPB   , 7, 3,   6,   7,   6,   8,  10,   9,   9,   8,  10,   9,   8,   8,   8,   5,   4,   4,   4,   3,   3,   4,   3,   3,   3,   4
2016,10201060,201,NOX ,PPB   , 7, 4,   4,   4,   4,   5,   5,   8,   7,   8,  10,   7,   7,   5,   5,   5,   4,   4,   8,   8,   7,   8,   9,   8,   9,   8
2016,10201060,201,NOX ,PPB   , 7, 5,   8,   8,   7,   5,   6,   7,   9,  12,  11,  10,  10,   9,   9,   8,   9,  11,  11,  11,  11,   9,  11,  12,  11,   9
2016,10201060,201,NOX ,PPB   , 7, 6,   9,   8,   7,   8,   8,   8,   8,  10,  12,  11,   8,   9,   9,   8,9999,9999,  14,  13,  14,  15,  14,  16,  14,  13
2016,10201060,201,NOX ,PPB   , 7, 7,  13,  10,   9,   7,   6,   4,   6,  10,   8,   7,   5,   8,   7,   5,   4,   6,   5,   5,   5,   5,   5,   4,   4,   4
2016,10201060,201,NOX ,PPB   , 7, 8,   3,   4,   4,   6,   7,   8,   6,   6,   7,   7,   7,   8,   8,   7,   9,   9,  10,   9,  10,  11,  11,  13,  13,  11
2016,10201060,201,NOX ,PPB   , 7, 9,  11,  11,  12,  10,   9,   8,   8,   9,   9,  10,   5,   5,   4,   4,   3,   3,   4,   7,   8,   9,  10,   8,   6,   4
2016,10201060,201,NOX ,PPB   , 7,10,   4,   3,   3,   4,   6,   5,   7,  11,  10,   7,   5,   5,   4,   3,   3,   3,   4,   4,   7,   6,   5,   6,   7,   6
2016,10201060,201,NOX ,PPB   , 7,11,   5,   4,   3,   3,   3,   3,   3,   6,   7,   4,   5,   4,   3,   4,   4,   4,   5,   5,   3,   5,   7,   6,   7,   6
2016,10201060,201,NOX ,PPB   , 7,12,   7,   8,   9,   7,   7,   5,   5,   5,   5,   5,   5,   4,   4,   4,   6,   5,   7,   7,   7,   7,   6,   6,   5,   6
2016,10201060,201,NOX ,PPB   , 7,13,   6,   6,   6,   7,   8,   7,   7,   9,  17,  22,  12,  11,  10,9999,9999,   8,  10,  15,  16,  13,  11,  13,  12,  10
2016,10201060,201,NOX ,PPB   , 7,14,   8,   8,   9,   9,   9,  11,  13,  18,  13,  10,   9,   9,   9,   8,   6,   8,   8,  10,  10,   8,   7,   7,   8,   7
2016,10201060,201,NOX ,PPB   , 7,15,   7,   5,   5,   8,   9,  11,  10,   7,  10,  10,  11,  14,   9,  10,   7,  10,  10,  14,  11,  11,  11,  10,   9,  11
2016,10201060,201,NOX ,PPB   , 7,16,  10,  10,   9,   7,  13,   7,   8,  11,  10,  10,   9,   7,   8,   7,   9,   9,   9,   9,  10,  11,  11,   9,   8,   8
2016,10201060,201,NOX ,PPB   , 7,17,   8,   7,   7,   7,   8,   8,   7,   9,   9,  10,   8,   7,   6,   6,   7,   6,   6,   8,   6,   7,   7,   6,   7,   8
2016,10201060,201,NOX ,PPB   , 7,18,   8,   8,   8,   8,   8,   9,   8,   7,   7,   7,   7,   5,   4,   5,   6,   5,   5,   4,   5,   5,   4,   4,   4,   3
2016,10201060,201,NOX ,PPB   , 7,19,   3,   3,   4,   5,   8,   9,  10,  13,  11,   9,   9,   8,   7,   5,   7,   6,   8,   8,   7,   7,   8,  10,   9,   8
2016,10201060,201,NOX ,PPB   , 7,20,   8,   8,   8,   8,  10,  11,  12,  12,  12,   9,   9,   7,   6,9999,   7,   7,   7,   9,   9,   7,   6,   5,   5,   5
2016,10201060,201,NOX ,PPB   , 7,21,   4,   4,   4,   4,   4,   5,   6,   8,  11,  17,  12,  13,  12,  10,   8,   8,   9,   8,   9,   8,   7,   7,   6,   5
2016,10201060,201,NOX ,PPB   , 7,22,   4,   5,   5,   4,   4,   4,   6,   6,   8,   7,   9,   9,   6,   6,  11,  12,  11,  14,  10,   9,   9,   8,   7,   8
2016,10201060,201,NOX ,PPB   , 7,23,   7,   6,   6,   6,   5,   7,   9,   8,   6,   7,   6,   7,   7,   6,   6,   6,   6,   5,   5,   6,   8,   9,   9,   8
2016,10201060,201,NOX ,PPB   , 7,24,   5,   6,   7,   7,   8,  10,  10,  10,   7,   8,   7,   5,   5,   5,   4,   3,   5,   6,   5,   6,   4,   4,   4,   4
2016,10201060,201,NOX ,PPB   , 7,25,   4,   4,   5,   5,   6,   9,  10,  11,  12,  12,  10,   9,   7,   8,   7,   7,   7,   9,  11,   7,   8,   9,   8,   9
2016,10201060,201,NOX ,PPB   , 7,26,   5,   6,   5,   6,   9,  11,  10,  12,  13,  14,  19,  19,  12,  12,  13,  16,  19,  19,  15,  10,   8,   8,   9,   8
2016,10201060,201,NOX ,PPB   , 7,27,   8,   9,   8,   9,   9,  12,  13,  12,  11,  12,  11,9999,   6,   5,   8,   8,   7,   8,   8,   9,  12,   9,   7,   6
2016,10201060,201,NOX ,PPB   , 7,28,   7,   8,  22,  27,  29,  32,  22,  24,  19,  14,   9,   7,   5,   5,   5,   6,   7,   7,   6,   9,   9,   9,  11,  11
2016,10201060,201,NOX ,PPB   , 7,29,   9,  11,   9,  11,   8,   8,   7,  10,  12,  14,  10,   7,   5,   5,   4,   3,   5,   8,   8,   8,  10,  17,  10,   9
2016,10201060,201,NOX ,PPB   , 7,30,  10,  10,   8,   9,  13,  15,  16,  14,  11,   9,   6,   5,   5,   4,   4,   3,   4,   5,   7,   7,   5,   7,   6,   5
2016,10201060,201,NOX ,PPB   , 7,31,   6,   6,   7,   9,   7,   7,   7,   7,   7,   5,   5,   4,   3,   2,   2,   1,   1,   2,   2,   2,   2,   2,   2,   3
2016,10201060,201,NOX ,PPB   , 8, 1,   4,   4,   3,   5,   6,   6,   7,   9,   9,   8,   5,   3,   3,   3,   4,   4,   6,   7,   8,  11,   9,   7,   8,   5
2016,10201060,201,NOX ,PPB   , 8, 2,   3,   3,   3,9999,   8,  14,  11,   9,   8,   6,   5,   4,   3,   3,   7,  10,   7,   6,   6,   6,   6,   5,   4,   8
2016,10201060,201,NOX ,PPB   , 8, 3,   8,   6,   7,   8,   7,   8,   8,   7,   8,   6,   6,   4,   4,9999,   4,   4,   5,   7,   7,   6,   5,   5,   6,   5
2016,10201060,201,NOX ,PPB   , 8, 4,   6,   7,   7,   9,   9,  10,   7,   7,   5,   6,   7,   5,   6,   4,   4,   3,   5,   4,   7,  10,  11,   9,   7,   8
2016,10201060,201,NOX ,PPB   , 8, 5,   9,   8,   8,   9,   6,   7,   7,   8,   5,   6,   6,   5,   6,   6,   5,   6,   6,   7,   8,   7,  10,   8,   7,   7
2016,10201060,201,NOX ,PPB   , 8, 6,   8,   7,   8,   8,   9,  12,  12,   7,   8,   8,   6,   6,   5,   5,   4,   4,   3,   4,   5,   6,   5,   5,   5,   6
2016,10201060,201,NOX ,PPB   , 8, 7,   6,   6,   6,   6,   7,   8,   9,   8,   8,   7,   5,   4,   3,   2,   2,   2,   1,   2,   2,   2,   2,   2,   4,   4
2016,10201060,201,NOX ,PPB   , 8, 8,   6,   7,   7,   6,   7,   7,   7,   5,   7,   5,   3,   4,   4,   4,   4,   5,   5,   5,   3,   2,   2,   2,   2,   2
2016,10201060,201,NOX ,PPB   , 8, 9,   2,   3,   4,   2,   2,   3,   4,   5,   6,   5,   4,   3,   3,   3,   3,   3,   2,   3,   3,   2,   2,   4,   3,   3
2016,10201060,201,NOX ,PPB   , 8,10,   3,   3,   3,   4,   5,   6,   7,   6,   5,   5,   5,   4,   4,9999,   4,   3,   5,   5,   6,   4,   4,   3,   2,   3
2016,10201060,201,NOX ,PPB   , 8,11,   2,   2,   3,   4,   4,   6,   6,   5,   4,   5,   4,   4,   3,   3,   3,   3,   3,   3,   4,   5,   4,   4,   4,   3
2016,10201060,201,NOX ,PPB   , 8,12,   3,   3,   4,   4,   6,   5,   7,   8,   8,   8,   5,   3,   3,   4,   3,   3,   4,   4,   4,   4,   4,   4,   3,   3
2016,10201060,201,NOX ,PPB   , 8,13,   3,   4,   4,   4,   4,   4,   5,   8,   8,   6,   5,   4,   4,   4,   3,   3,   3,   3,   3,   3,   2,   2,   2,   2
2016,10201060,201,NOX ,PPB   , 8,14,   2,   2,   2,   1,   2,   4,   3,   3,   4,   5,   4,   3,   4,   3,   3,   2,   2,   2,   3,   4,   3,   3,   2,   2
2016,10201060,201,NOX ,PPB   , 8,15,   2,   2,   4,   3,   4,   5,   5,   6,   7,   7,   6,   5,   6,   6,   6,   6,   6,   7,   7,   8,   7,   7,   7,   5
2016,10201060,201,NOX ,PPB   , 8,16,   4,   4,   6,   6,   5,   7,   6,   6,   6,   5,   3,   4,   4,   2,   2,   2,   2,   2,   2,   4,   5,   5,   4,   4
2016,10201060,201,NOX ,PPB   , 8,17,   4,   4,   2,   3,   5,   7,   6,   9,   8,   6,   5,   4,   3,   3,   3,   4,   5,   6,   8,   6,   6,   7,   7,   7
2016,10201060,201,NOX ,PPB   , 8,18,   3,   5,   4,   6,   7,  12,  10,   9,  10,  10,   8,   7,   6,   4,   4,   7,   8,   7,   7,  10,  10,  10,   9,   9
2016,10201060,201,NOX ,PPB   , 8,19,  13,  13,  11,  13,  11,  10,  11,   9,   8,   6,   7,   7,   7,   5,9999,   7,   5,   5,   8,   5,   7,   8,   8,   9
