,0
SHAP_OX_01,12.6718086302732
SHAP_TEMP_01,3.5840365118459996
SHAP_HUM_01,1.9497437976632326
SHAP_OX_02,2.294008078389434
SHAP_OX_23,0.9065588304460769
SHAP_OX_24,0.21397866807281826
SHAP_TEMP_03,0.15608659792765547
SHAP_OX_04,0.395144082852604
SHAP_OX_22,1.172716150783482
SHAP_NOX_02,0.1309970178110454
SHAP_PM25_01,0.8407862730232547
SHAP_NO2_02,0.4094305578725073
SHAP_SPM_02,0.6274975773850172
SHAP_TEMP_23,0.2620919136355179
SHAP_TEMP_07,1.1211832191227147
SHAP_PM25_09,0.6455238998640034
SHAP_TEMP_02,0.9182214889532505
SHAP_OX_07,0.16165333130171122
SHAP_OX_13,1.4130889719507347
SHAP_TEMP_08,1.4347678714594099
SHAP_NMHC_21,0.31423536455104384
SHAP_WS_02,0.22527755184577966
SHAP_SPM_16,0.4918690914189386
SHAP_NO2_15,0.5797938724976232
SHAP_OX_19,0.14830065587161556
SHAP_PM25_11,0.0764045495301781
SHAP_TEMP_11,0.7691713585595911
SHAP_NO2_16,0.4731851105451246
SHAP_OX_06,0.6864835508818611
SHAP_HUM_02,0.6867197872148333
